_id,category,icon,description,is_menu_category
64f0b49a40c7a001c0f29e37,Tags,https://applicationsjson.s3.amazonaws.com/Insta+Expert/Icons/Explore/tags.png,"Instagram tags, also known as hashtags, are keywords or phrases preceded by the ""#"" symbol (#) that are used to categorize and organize content on the social media platform Instagram. When users post photos or videos on Instagram and include one or more relevant hashtags in their captions or comments, it allows those posts to be grouped with other content that shares the same hashtag.",
64f0b49a40c7a001c0f29e38,Captions,https://applicationsjson.s3.amazonaws.com/Insta+Expert/Icons/Explore/captions.png,"An Instagram caption is a text or description that accompanies a photo or video you post on the social media platform Instagram. Captions are used to provide context, share a story, convey emotions, add humor, or engage with your audience in some way. Instagram captions appear below the photo or video and can be up to 2,200 characters in length, although most users keep them relatively short and concise.",
64f0b49a40c7a001c0f29e39,Password,https://applicationsjson.s3.amazonaws.com/Insta+Expert/Icons/Explore/password.png,"An Instagram password is a secret and unique combination of characters (usually a mix of letters, numbers, and symbols) that you create and use to secure your Instagram account. Your password is a critical component of your account's security, as it prevents unauthorized access to your account and the personal information you have shared on the platform.",
64f0b49a40c7a001c0f29e3a,Tips,https://applicationsjson.s3.amazonaws.com/Insta+Expert/Icons/Explore/tips.png,"Instagram tips"" typically refer to pieces of advice, strategies, or recommendations for using the social media platform Instagram effectively. These tips are often shared by experienced users, social media experts, and influencers to help others enhance their Instagram experience, grow their followers, engage their audience, and achieve specific goals on the platform. Here are some common Instagram tips:",
64f0b49a40c7a001c0f29e3b,Account,https://applicationsjson.s3.amazonaws.com/Insta+Expert/Icons/Explore/account.png,"An Instagram account is a personal or business profile that you create on the social media platform Instagram. It serves as your presence on Instagram, allowing you to share photos, videos, stories, and engage with other users. Instagram accounts can be used for various purposes, including personal expression, social networking, content creation, marketing, and more.  Here are some key features and aspects of an Instagram account:",
64f0b49a40c7a001c0f29e3c,Blogs,https://applicationsjson.s3.amazonaws.com/Insta+Expert/Icons/Explore/blogs.png,"Instagram blogs, often referred to as ""Instagram blogs"" or ""Insta-blogs,"" are Instagram accounts that primarily focus on sharing written content, information, and insights on specific topics, interests, or niches. While Instagram is primarily a visual platform for sharing photos and videos, Instagram blogs put more emphasis on the text-based aspect of content.",
64f0b49a40c7a001c0f29e3d,Reels,https://applicationsjson.s3.amazonaws.com/Insta+Expert/Icons/Explore/reels.png,"Instagram Reels is a short-form video feature on the social media platform Instagram. It was launched by Instagram as a response to the growing popularity of short video content, particularly on platforms like TikTok. Instagram Reels allows users to create and share videos that are up to 60 seconds long, typically set to music, and often featuring various creative effects and editing tools.",
64f0b49a40c7a001c0f29e3e,Posts,https://applicationsjson.s3.amazonaws.com/Insta+Expert/Icons/Explore/post.png,"An Instagram post is a piece of content that users share on their Instagram accounts to communicate with their followers and the broader Instagram community. Instagram posts can take various forms, including photos, videos, carousel posts, and stories. Users typically use these posts to share personal moments, express their creativity, promote products or services, or engage with their audience.",
651ed0ba2c4a2cee25ca5e89,News,https://applicationsjson.s3.amazonaws.com/Insta+Expert/Icons/Explore/news.png,Instagram News.,
65d8d62b9f7376f32482824f,Tags,https://applicationsjson.s3.amazonaws.com/Insta+Expert/Icons/Explore/tags.png,"Instagram tags, also known as hashtags, are keywords or phrases preceded by the ""#"" symbol (#) that are used to categorize and organize content on the social media platform Instagram. When users post photos or videos on Instagram and include one or more relevant hashtags in their captions or comments, it allows those posts to be grouped with other content that shares the same hashtag.",true
65d8ede592f1d63bd7ec349e,Blogs,https://applicationsjson.s3.amazonaws.com/Insta+Expert/Icons/Explore/blogs.png,"Instagram blogs, often referred to as ""Instagram blogs"" or ""Insta-blogs,"" are Instagram accounts that primarily focus on sharing written content, information, and insights on specific topics, interests, or niches. While Instagram is primarily a visual platform for sharing photos and videos, Instagram blogs put more emphasis on the text-based aspect of content.",true
65d8efc692f1d63bd7ec34a0,Image Editor,https://applicationsjson.s3.amazonaws.com/Insta+Expert/Icons/Explore/blogs.png,"Instagram blogs, often referred to as ""Instagram blogs"" or ""Insta-blogs,"" are Instagram accounts that primarily focus on sharing written content, information, and insights on specific topics, interests, or niches. While Instagram is primarily a visual platform for sharing photos and videos, Instagram blogs put more emphasis on the text-based aspect of content.",true
